yaya kaldırımı	sidewalk [Am.]	noun
yazı tura atmak	to toss	verb
yedi yüz	seven hundred	noun
yeleli tembel hayvan	maned sloth	noun
yelkenle gitmek	to sail	verb
yelkenliyle gitmek	to sail	verb
yem vermek	to feed	verb
yemek listesi	menu	noun
yemek pişirme	cooking	noun
yemek tarifi	recipe	noun
yemek yapmak	to cook	verb
yemek çubukları	chopsticks	noun
yengeç yağmurcunu [Dromas ardeola]	crab plover	noun
yeniden düşünmek	to reconsider	verb
yeniden ele almak	to reconsider	verb
yer fıstık	peanut	noun
yere inmek	to land	verb
yerel saat	local time	noun
yerel zaman	local time	noun
yerine koyma	substitution	noun
yerine koymak	to replace	verb
yersiz sorular soran	inquisitive	adj
yeterli olmak	to do [suffice]	verb
yeşil salata	green salad	noun
yine de	in spite of that	adv
yirmi bir	twenty-one	noun
yok olmak	to disappear	verb
yok olmak	to vanish	verb
yok saymak	to ignore	verb
yoksun bırakmak	forego	verb
yolculuk etmek	to travel	verb
yoruma açık	ambiguous	adj
yorumda bulunmak	to comment on	verb
yumak yapmak	wind up	verb
yurtiçi uçuş	domestic flight	noun
yürüyen merdiven	escalator	noun
yürüyerek gitmek	to walk	verb
yılbaşı gecesi	New Year's Eve	noun
yıldan yıla	annually	adv
yıllık olarak	annually	adv
zamanında olmak	to be on time	verb
zarar vermek	to damage	verb
zebra ispinozu [Taeniopygia guttata, syn.: Poephila guttata]	zebra finch	noun
ziyaret etmek	to visit	verb
zorunlu askerlik	conscription	noun
Çok teşekkür ederim!	Thank you very much!	phrase
Çok teşekkürler!	Thank you very much!	phrase
Çok yaşa!	Bless you! [after sneezing]	phrase
Önemli değil!	Never mind!	phrase
Özür dilerim!	Excuse me!	phrase
Özür dilerim, [dediğinizi] anlamadım.	I'm sorry, I didn't get / catch that.	phrase
Özür dilerim.	I am sorry.	phrase
Ürün Bilgi Yönetimi	Product Data Management <PDM>	phrase
âlet olan kimse	stooge	noun
çare bulmak	to help	verb
çare olmak	to help	verb
çaresine bakmak	to remedy	verb
çatal-bıçak takımı	cutlery	noun
çatı katı	top floor	noun
çay kaşığı	teaspoon <tsp. / t.>	noun
çayır incir kuşu	meadow pipit	noun
çeyrek geçer	a quarter past	phrase
çeyrek geçiyor	a quarter past	phrase
çift sürmek	to plough	verb
çinko nitrat [Zn(NO3)2]	zinc nitrate	noun
çita [Acinonyx jubatus]	cheetah	noun
çizgili ötleğen [Sylvia nisoria]	barred warbler	noun
çok büyük	huge	adj
çok güzel	great	adj
çok iyi	very well	adv
çok sayıda	numerous	adj
çok önemli	crucial	adj
çok şükür ki	fortunately	adv
çöl koşarı [Cursorius cursor]	cream-colored courser [Am.]	noun
çöl toygarı [Ammomanes deserti]	desert lark	noun
çıkrıkçın [Spatula querquedula, syn.: Anas querquedula]	garganey	noun
çığlık atmak	to scream	verb
öbür gün	the day after tomorrow	adv
ödünç almak	to borrow	verb
ödünç vermek	to borrow	verb
